OUT_LON,OUT_LAT,WTRSHDGRPD
-122.78125,53.90625,99
-120.84375,50.15625,62
-126.28125,55.71875,43
-125.15625,54.90625,135
-122.59375,54.09375,122
-123.59375,52.03125,26
-122.46875,53.03125,171
-122.28125,51.53125,42
-123.21875,54.40625,177
-121.90625,50.78125,8
-122.15625,49.15625,63
-120.34375,50.65625,191
-119.96875,51.65625,232
-124.96875,53.59375,114
-122.53125,53.03125,35
-123.53125,53.28125,47
-120.28125,51.90625,127
-121.46875,54.28125,65
-121.59375,50.28125,179
-122.34375,51.71875,133
-121.34375,50.84375,14
-122.71875,51.78125,11
-120.09375,51.65625,31
-123.53125,53.96875,156
-125.28125,53.40625,102
-120.96875,50.78125,39
-123.15625,54.40625,146
-123.53125,53.09375,153
-122.09375,54.21875,139
-123.09375,49.09375,103
-121.53125,50.28125,205
-121.53125,52.65625,23
-125.71875,55.15625,200
-120.84375,50.09375,113
-124.78125,54.71875,126
-122.09375,49.09375,28
-119.09375,50.65625,238
-122.09375,53.90625,15
-122.28125,52.21875,215
-124.28125,53.15625,48
-124.96875,54.84375,242
-124.71875,53.71875,24
-120.40625,50.21875,158
-122.96875,53.28125,12
-125.34375,53.34375,221
-122.46875,54.09375,244
-120.96875,51.78125,16
-123.84375,52.21875,219
-119.90625,52.09375,145
-122.71875,53.59375,197
-119.59375,50.90625,1
-122.46875,52.59375,149
-122.21875,52.15625,175
-120.03125,53.21875,222
-123.46875,53.53125,25
-122.78125,51.84375,100
-121.09375,51.28125,61
-120.34375,50.71875,115
-122.21875,49.78125,107
-125.78125,53.65625,231
-121.40625,52.46875,68
-121.40625,54.21875,129
-123.59375,54.03125,194
-123.65625,51.96875,201
-124.65625,54.09375,54
-124.40625,54.59375,193
-119.53125,50.90625,183
-121.53125,49.40625,55
