WTRSHDGRPC,CHINOOK,CHUM,COHO,PINK_EVEN,PINK_ODD,SE_LAKE,SE_RIVER
PORI,False,False,True,False,False,False,True
UPET,False,False,False,False,False,False,False
LCHL,True,False,True,False,True,False,False
GUIC,True,False,True,False,True,False,False
MESC,False,False,False,False,False,False,False
KISK,False,False,False,False,False,False,False
DRIR,True,False,True,False,True,True,False
MIDR,True,False,True,False,True,True,False
LSAL,True,False,True,False,True,False,False
CHIR,True,False,True,False,True,True,False
JENR,False,False,False,False,False,False,False
LPCE,False,False,False,False,False,False,False
LBIR,True,True,True,True,True,True,True
QUES,True,False,True,False,True,True,False
REVL,False,False,False,False,False,False,False
DOGC,True,False,True,False,True,False,False
SALR,True,False,True,False,True,False,False
UNUR,False,False,False,False,False,False,False
BBAR,True,False,True,False,True,False,False
KISP,True,True,True,True,True,True,True
PINE,False,False,False,False,False,False,False
LFRT,False,False,False,False,False,False,False
HARR,True,True,True,False,True,True,True
STHM,True,False,True,False,True,True,False
UNTH,True,False,True,False,True,True,False
LNRS,True,False,True,False,True,False,False
COTR,True,False,True,False,True,False,False
EUCH,True,False,True,False,True,False,False
USKE,True,True,True,True,True,True,True
MAHD,True,False,True,False,True,False,False
LRAN,False,False,False,False,False,False,False
NASR,True,True,True,True,True,True,True
TOOD,False,False,False,False,False,False,False
KOTR,False,False,False,False,False,False,False
HERR,True,False,True,False,False,False,False
KHTZ,True,True,True,True,True,True,True
LSKE,True,True,True,True,True,True,True
SEYM,True,True,True,True,True,True,True
SAHD,False,False,False,False,False,False,False
DUNE,False,False,False,False,False,False,False
SQAM,True,True,True,True,True,True,True
TOBA,True,True,True,True,True,True,True
ALBN,True,True,True,True,True,True,True
SETN,True,True,True,False,True,True,False
MFRA,True,False,True,False,True,False,False
BONP,True,False,True,False,True,False,False
DEAR,False,False,False,False,False,False,False
TAYR,False,False,True,True,True,False,True
BIGC,True,False,True,False,True,False,False
TAHS,True,True,True,True,True,True,True
CLWR,True,False,True,False,True,True,False
NECR,True,False,True,False,True,True,False
LEUT,False,False,True,False,True,False,False
BEAV,False,False,False,False,False,False,False
DEAD,True,False,True,False,True,False,False
MUSK,True,False,True,False,True,False,False
NAZR,True,False,True,False,True,False,False
ZYMO,True,True,True,True,True,True,True
PARS,False,False,False,False,False,False,False
KITL,True,True,True,True,True,True,True
LHAF,False,False,False,False,False,False,False
BABL,True,True,True,True,True,True,True
MORK,True,False,True,False,True,False,False
ATNA,True,True,True,True,True,True,True
UBTN,False,False,False,False,False,False,False
MILL,False,False,False,False,False,False,False
LFRA,True,True,True,False,True,True,True
ATLL,False,False,False,False,False,False,False
LARL,False,False,False,False,False,False,False
LOMI,False,False,False,False,False,False,False
TAHR,False,False,False,False,False,False,False
UHAF,False,False,False,False,False,False,False
BULL,False,False,False,False,False,False,False
STIR,False,False,False,False,False,False,False
CARP,False,False,False,False,False,False,False
THOM,True,False,True,False,True,True,False
KETL,False,False,False,False,False,False,False
FINA,False,False,False,False,False,False,False
LSTR,False,False,False,False,False,False,False
ULRD,False,False,False,False,False,False,False
UNAR,True,False,True,True,True,True,True
SMAR,False,False,False,False,False,False,False
CRYL,False,False,False,False,False,False,False
BULK,True,True,True,True,True,True,True
INGR,False,False,False,False,False,False,False
LIAR,False,False,False,False,False,False,False
NAKR,False,False,False,False,False,False,False
DEAL,False,False,False,False,False,False,False
GATA,False,False,False,False,False,False,False
BLUR,False,False,False,False,False,False,False
CARR,True,False,True,False,True,False,False
NBNK,False,True,True,True,True,True,True
FIRE,False,False,False,False,False,False,False
TAKL,True,False,True,False,True,True,False
CRKD,False,False,False,False,False,False,False
PCEA,False,False,False,False,False,False,False
FROG,False,False,False,False,False,False,False
MESI,False,False,False,False,False,False,False
LDEN,True,True,True,True,True,False,True
LRDO,True,True,True,True,True,True,True
KCHL,False,False,False,False,False,False,False
KAHN,False,False,False,False,False,False,False
LNIC,True,False,True,False,True,False,False
KLAR,False,False,False,False,False,False,False
LTRE,True,False,True,False,True,True,False
KAKC,False,False,False,False,False,False,False
KINR,True,True,True,True,True,True,True
SWIR,False,False,False,False,False,False,False
CHWK,False,True,True,False,True,True,False
KUSR,False,False,False,False,False,False,False
USHU,True,False,True,False,True,True,False
BOWR,True,False,True,False,True,True,False
TWAC,True,False,True,False,True,False,False
EUCL,True,False,True,False,True,False,False
UTRE,True,False,True,False,True,True,False
CHES,True,False,True,False,True,False,False
NATR,False,False,False,False,False,False,False
UDEN,True,True,True,True,True,False,True
UISR,False,False,False,False,False,False,False
MBNK,False,True,True,True,True,True,True
UPCE,False,False,False,False,False,False,False
HAYR,False,False,False,False,False,False,False
NICL,True,False,True,False,True,False,False
MSTR,False,False,False,False,False,False,False
SHER,False,False,False,False,False,False,False
MMUS,False,False,False,False,False,False,False
OSPK,False,False,False,False,False,False,False
CHUK,False,False,False,False,False,False,False
BLAR,True,False,True,False,True,False,False
MDEA,False,False,False,False,False,False,False
SKGT,False,False,False,False,False,False,False
TSAY,True,True,True,True,True,False,True
KITR,True,True,True,True,True,True,True
UEUT,True,False,True,False,True,False,False
FONT,False,False,False,False,False,False,False
WILL,True,False,True,False,True,False,False
KNIG,True,True,True,True,True,True,True
KOTL,False,False,False,False,False,False,False
TOAD,False,False,False,False,False,False,False
MORI,True,True,True,True,True,True,True
BRID,True,False,True,False,True,False,False
CAMB,True,True,True,True,True,False,True
BRKS,True,True,True,True,True,True,True
TUTR,False,False,False,False,False,False,False
UCHR,True,False,True,False,True,False,False
MURT,True,False,True,False,True,False,False
SAHT,False,False,False,False,False,False,False
PARA,False,False,False,False,False,False,False
TABR,True,False,True,False,True,False,False
KTSU,True,True,True,True,True,True,True
ADMS,True,False,True,False,True,True,False
MPRO,False,False,False,False,False,False,False
SIML,False,False,False,False,False,False,False
CANO,False,False,False,False,False,False,False
NARC,True,False,True,False,True,False,False
SAJR,True,False,True,False,True,False,False
SMOK,False,False,False,False,False,False,False
LISR,False,False,False,False,False,False,False
OKAN,False,False,False,False,False,False,False
SUST,True,True,True,True,True,True,True
UFRA,True,False,True,False,True,False,False
BELA,True,True,True,True,True,False,True
TATR,False,False,False,False,False,False,False
KUMR,True,True,True,True,True,True,True
GRAI,True,True,True,True,True,True,True
UPRO,False,False,False,False,False,False,False
MSKE,True,True,True,True,True,True,True
ISKR,False,False,False,False,False,False,False
CHIL,True,False,True,False,True,False,False
SLOC,False,False,False,False,False,False,False
COAL,False,False,False,False,False,False,False
TUYR,False,False,False,False,False,False,False
UKEC,False,False,False,False,False,False,False
TURN,False,False,False,False,False,False,False
CLRH,False,False,False,False,False,False,False
USIK,False,False,False,False,False,False,False
USTK,False,False,False,False,False,False,False
UMUS,False,False,False,False,False,False,False
MURR,False,False,False,False,False,False,False
LSIK,False,False,False,False,False,False,False
LCHR,True,False,True,False,True,False,False
BARR,False,False,False,False,False,False,False
PITR,False,False,False,False,False,False,False
NASC,True,True,True,True,True,True,True
GRNL,True,False,True,False,True,False,False
ELKR,False,False,False,False,False,False,False
HOMA,True,True,True,True,True,False,True
COLR,False,False,False,False,False,False,False
FINL,False,False,False,False,False,False,False
UOMI,False,False,False,False,False,False,False
KSHR,False,False,False,False,False,False,False
SANJ,True,True,True,True,True,True,True
GOLD,True,True,True,True,True,True,True
COWN,True,True,True,True,True,False,True
SALM,True,True,True,True,True,True,True
COMX,True,True,True,True,True,False,True
VICT,True,True,True,True,True,False,True
NEVI,True,True,True,True,True,True,True
CLAY,True,True,True,True,True,True,True
NIMP,True,True,True,True,True,True,True
HOLB,True,True,True,True,True,True,True
PARK,True,True,True,True,True,True,True
TSIT,True,True,True,True,True,True,True
LBTN,False,False,False,False,False,False,False
LNAR,True,True,True,True,True,False,True
KHOR,False,False,False,False,False,False,False
LPRO,False,False,False,False,False,False,False
LMUS,False,False,False,False,False,False,False
LKEL,True,True,True,True,True,True,True
LNTH,True,False,True,False,True,True,False
KEEC,False,True,True,True,True,True,True
LILL,True,True,True,False,True,True,False
KLUM,True,True,True,True,True,True,True
UNRS,True,False,True,False,True,False,False
HORS,True,False,True,False,True,True,False
UFRT,False,False,False,False,False,False,False
MCGR,True,False,True,False,False,False,False
UJER,False,False,False,False,False,False,False
OWIK,True,True,True,True,True,True,True
TSEA,False,False,False,False,False,False,False
TESR,False,False,False,False,False,False,False
NAHR,False,False,False,False,False,False,False
JERV,True,True,True,True,True,True,True
LKEC,False,False,False,False,False,False,False
LPET,False,False,False,False,False,False,False
UBIR,True,False,True,True,True,True,True
BABR,True,True,True,True,True,True,True
STUR,True,False,True,False,True,True,False
MFRT,False,False,False,False,False,False,False
KLIN,True,True,True,True,True,False,True
WORC,False,False,False,False,False,False,True
INKR,False,False,False,False,False,False,False
TASR,True,False,True,False,True,True,False
SPAT,False,False,False,False,False,False,False
FRAN,True,False,True,False,True,True,False
NECL,True,True,True,True,True,True,True
STUL,True,False,True,False,True,True,False
DUNC,False,False,False,False,False,False,False
MORR,True,True,True,True,True,True,True
NIEL,True,True,True,True,True,True,True
GLAR,False,False,False,False,False,False,False
SHEK,False,False,False,False,False,False,False
SHUL,True,False,True,False,True,True,False
UARL,False,False,False,False,False,False,False
FOXR,False,False,False,False,False,False,False
FRCN,True,True,True,False,True,True,False
